"","ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"1","abginr",0.61,0,1.38,0.6,0.96,6000,2.93928571428571,0.505927871883543,0.0367059542659382,0.0725517535321464
"2","aboxsw",0.68,0.37,2.51,0.73,0.82,6860,2.91071428571428,0.889202981865994,1.25710164125978,1.41373979495858
"3","aekqzk",0.85,0.4,2.53,0.96,0.96,9130,3.6,2.02798380963313,2.24553745086307,1.1072758274482
"4","ahmfki",0.71,0.05,2.93,0.71,0.9,7075,2.67142857142857,1.09603803787313,0.529417912762361,0.483028776802037
"5","akurdg",0.74,0.59,2.58,0.9,0.96,8195,3.01428571428571,1.3728831706019,1.81732930068402,1.32373193844839
"6","akvwii",0.64,0.79,1.8,0.78,0.76,6910,2.19642857142857,0.58331906023868,0.521076335017196,0.8932955744734
"7","albemo",0.74,0.59,2.17,0.94,0.98,8805,3.125,1.26674976975148,1.06845967254229,0.843465456284956
"8","ammrwo",0.69,0.69,1.66,0.85,0.72,7735,2.45714285714286,0.942967274202763,0.958874391059753,1.01686921412033
"9","amubmq",0.73,0,1.92,0.73,0.92,7300,2.30714285714286,1.1851516398483,0.358846958944384,0.3027856916186
"10","angcso",0.67,0.78,1.28,0.84,0.94,7470,2.66428571428571,0.93400266309234,0.593921424463456,0.635888362991464
"11","aodlnk",0.66,0,2.33,0.66,0.9,6600,2.5,0.762032755628488,1.13872775681796,1.49432914583677
"12","aouehi",0.7,0,2.09,0.71,0.9,7100,2.52142857142857,1.03562399060927,1.39258041104418,1.3446776278569
"13","aqikrl",0.71,0.25,1.93,0.79,0.94,7685,2.72142857142857,1.16196871835086,0.694845315337345,0.597989691429486
"14","aqmqsq",0.73,0.66,2.02,0.92,0.88,8450,3,1.50323361680277,1.66502393193726,1.10762819120464
"15","asvmtk",0.717171717171717,0.0808080808080808,2.2020202020202,0.727272727272727,0.82,7230,2.375,1.18640232180826,0.210265009047964,0.177229094366141
"16","atadpg",0.84,0,2.27,0.83,1,8300,3.30714285714286,2.4409014706194,2.2292945659273,0.913307887582041
"17","atndqp",0.79,0.43,2.21,0.95,0.96,8985,2.96071428571429,1.60570830407228,1.68076804263899,1.04674556292469
"18","augafv",0.69,0.25,2.76,0.74,0.96,7145,2.84642857142857,1.20741920522142,2.07593529306255,1.71931611165806
"19","auicuy",0.777777777777778,0.333333333333333,2.32323232323232,0.888888888888889,0.98,8525,3.09642857142857,1.43142677841435,2.22554830104747,1.55477620972886
"20","auossx",0.6,0.315789473684211,2.31578947368421,0.715789473684211,0.823529411764706,6965,2.72857142857143,0.492188571090625,0.669595715127686,1.36044547650497
"21","avllga",0.62,0.06,1.6,0.64,0.9,6370,2.65,0.441411801123714,-0.236402053514437,-0.535558978968441
"22","avsysn",0.71,0.41,1.98,0.79,0.92,7500,2.37857142857143,1.12899393478089,0.753415157626692,0.667333219795295
"23","avvojt",0.74,0.29,2.1,0.85,0.92,8280,3.06428571428571,1.26052644959789,0.779429880828513,0.618336791804053
"24","awwqym",0.8,0.47,1.73,0.94,0.96,8895,2.83571428571428,1.82163921170725,1.40005213335675,0.768567191768236
"25","axjjyt",0.76,0.4,2.45,0.92,0.98,8745,3.05357142857143,1.37866115973955,1.76107415003058,1.27737996939239
"26","ayaruh",0.72,0,1.39,0.72,0.88,7200,3.325,1.20123305076877,0.586230603239447,0.488024037354173
"27","azfqqa",0.65,0.22,2.1,0.73,0.88,7130,3.06071428571428,0.747419078959159,0.859872097020109,1.15045510775233
"28","bcvlam",0.68,0.62,1.92,0.92,1,8545,3.08928571428571,1.2815515655446,0.907571817137198,0.708182051770598
"29","bdfixg",0.7,0.38,1.16,0.81,0.86,7625,2.87857142857143,1.10158151905984,0.607925811249535,0.551866385493086
"30","beauof",0.66,0.09,1.09,0.67,0.88,6655,2.69642857142857,1.06089126806266,0.638882886946429,0.60221335228173
