"ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"abginr",0.61,0,1.38,0.6,0.96,6000,2.93928571428571,0.505927871883543,0.0387230384774645,0.0765386542814901
"aboxsw",0.68,0.37,2.51,0.73,0.82,6860,2.91071428571428,0.889202981865994,1.24789455640661,1.40338548324242
"aekqzk",0.85,0.4,2.53,0.96,0.96,9130,3.6,2.02798380963313,2.23329874133363,1.10124091263709
"ahmfki",0.71,0.05,2.93,0.71,0.9,7075,2.67142857142857,1.09603803787313,0.539383217848187,0.492120892897901
"akurdg",0.74,0.59,2.58,0.9,0.96,8195,3.01428571428571,1.3728831706019,1.81370656206729,1.32109315701796
"akvwii",0.64,0.79,1.8,0.78,0.76,6910,2.19642857142857,0.58331906023868,0.527453177058687,0.904227571173254
"albemo",0.74,0.59,2.17,0.94,0.98,8805,3.125,1.26674976975148,1.05954376673125,0.836427045050199
"ammrwo",0.69,0.69,1.66,0.85,0.72,7735,2.45714285714286,0.942967274202763,0.946519359072439,1.00376692274149
"amubmq",0.73,0,1.92,0.73,0.92,7300,2.30714285714286,1.1851516398483,0.353183412083291,0.298006938697313
"angcso",0.67,0.78,1.28,0.84,0.94,7470,2.66428571428571,0.93400266309234,0.596987400907555,0.639170983657607
"aodlnk",0.66,0,2.33,0.66,0.9,6600,2.5,0.762032755628488,1.13209313929531,1.48562267295402
"aouehi",0.7,0,2.09,0.71,0.9,7100,2.52142857142857,1.03562399060927,1.39985106523502,1.35169818189656
"aqikrl",0.71,0.25,1.93,0.79,0.94,7685,2.72142857142857,1.16196871835086,0.708039442850986,0.609344667949308
"aqmqsq",0.73,0.66,2.02,0.92,0.88,8450,3,1.50323361680277,1.67030644614035,1.11114229183679
"asvmtk",0.717171717171717,0.0808080808080808,2.2020202020202,0.727272727272727,0.82,7230,2.375,1.18640232180826,0.203998639216689,0.171947269039195
"atadpg",0.84,0,2.27,0.83,1,8300,3.30714285714286,2.4409014706194,2.24219483130004,0.918592929001375
"atndqp",0.79,0.43,2.21,0.95,0.96,8985,2.96071428571429,1.60570830407228,1.6659805859616,1.03753625844524
"augafv",0.69,0.25,2.76,0.74,0.96,7145,2.84642857142857,1.20741920522142,2.0939235330831,1.73421420168575
