"ID","Block","Trial","InfoCost","Target","Correct1st","Confidence1st","RT1st","SeeAgain","RTSee","Correct2nd","Confidence2nd","RT2nd"
"waiosh",1,1,5,-1,1,83,1894,1,2402,1,100,1515
"waiosh",1,2,5,1,0,67,1383,1,4987,1,83,2243
"waiosh",1,3,5,-1,1,83,2194,0,1887,1,100,676
"waiosh",1,4,5,-1,0,67,2583,1,2251,1,67,1682
"waiosh",1,5,5,1,1,67,1962,0,3404,1,83,614
"waiosh",1,6,5,-1,1,83,1470,1,1745,1,100,865
"waiosh",1,7,5,-1,1,67,1093,1,1011,1,83,1135
"waiosh",1,8,5,1,1,67,1811,1,1482,1,83,1091
"waiosh",1,9,5,-1,1,67,3106,0,1685,1,83,604
"waiosh",1,10,5,1,1,83,3437,0,2275,1,100,1235
"waiosh",1,11,5,1,1,67,2767,1,1154,1,83,1712
"waiosh",1,12,5,-1,1,67,1390,1,1088,1,83,1045
"waiosh",1,13,5,-1,1,83,3195,0,1310,1,100,595
"waiosh",1,14,5,-1,1,67,1200,1,919,1,83,1200
"waiosh",1,15,5,-1,1,67,1718,1,298,1,83,764
"waiosh",1,16,5,-1,0,67,2079,1,1955,1,83,1714
"waiosh",1,17,5,-1,1,67,3019,1,1514,1,100,1169
"waiosh",1,18,5,1,1,83,2802,0,1690,1,83,1339
"waiosh",1,19,5,1,0,83,1499,0,2191,0,83,845
"waiosh",1,20,5,-1,0,67,2221,0,1636,0,83,1231
"waiosh",1,21,5,1,0,83,1610,1,3188,0,83,1728
"waiosh",1,22,5,1,1,67,2562,1,2516,0,67,1406
"waiosh",1,23,5,1,1,83,3273,0,2707,1,83,688
"waiosh",1,24,5,-1,1,83,2272,1,7587,1,100,916
"waiosh",1,25,5,1,1,67,2911,1,361,1,83,868
"waiosh",2,26,20,-1,1,83,2071,0,1320,1,100,1352
"waiosh",2,27,20,1,1,83,1657,0,2382,1,83,471
"waiosh",2,28,20,-1,1,67,1424,1,2025,1,100,988
"waiosh",2,29,20,-1,1,83,1518,0,1562,1,100,448
"waiosh",2,30,20,1,0,83,1526,0,251,0,83,927
"waiosh",2,31,20,-1,1,67,2296,1,1135,1,100,1439
"waiosh",2,32,20,-1,1,83,1717,0,612,1,83,522
"waiosh",2,33,20,1,0,83,3091,0,2323,0,83,4862
"waiosh",2,34,20,-1,1,83,2164,1,2294,1,83,1063
"waiosh",2,35,20,1,1,67,1660,0,3509,1,100,4043
