"ID","AccStronger","MaxPoints","DotDiff"
"akvwii",0.76,6910,2.19642857142857
"amubmq",0.92,7300,2.30714285714286
"aodlnk",0.9,6600,2.5
"aouehi",0.9,7100,2.52142857142857
"aqmqsq",0.88,8450,3
"awwqym",0.96,8895,2.83571428571428
"axjjyt",0.98,8745,3.05357142857143
"ayaruh",0.88,7200,3.325
"azfqqa",0.88,7130,3.06071428571428
"bcvlam",1,8545,3.08928571428571
"beauof",0.88,6655,2.69642857142857
"bfyadm",0.98,7800,3.51428571428571
"bgsmli",0.94,8540,2.65714285714286
"bhoozk",1,8590,3.16071428571428
"bijxjt",0.94,6805,2.98571428571429
"bjbuho",0.94,8270,2.85714285714286
"bnaigm",0.9,8650,2.98571428571429
"bpbadb",0.78,8475,2.88214285714286
"bphpor",0.96,6920,2.65357142857143
"bqnunf",1,9005,3.35
"brhzqs",0.98,9285,3.575
"btxmie",0.92,8635,3.4
"bzovoo",0.98,7825,2.87857142857143
"caaopl",1,8580,3.57142857142857
"cewqpg",0.9,8250,2.86428571428571
"cfdicp",0.98,9225,3.48214285714286
"cfhhlj",0.98,8455,2.83214285714286
"cfrnqt",0.86,7985,2.83928571428571
"cfxjma",0.9,7825,2.425
"chfvlf",0.94,7200,3.07142857142857
"chpdfx",0.92,8465,2.95714285714286
"cotpxk",0.92,7190,2.69642857142857
"csdjcz",0.86,6245,2.18571428571428
"cvrflt",0.8,6255,2.64642857142857
"cwoyjb",0.86,8500,2.775
"cwtyzh",0.94,7885,2.68214285714286
"cwvrbo",0.96,8085,2.85
"cyukhk",1,8625,2.98928571428571
"dayhjo",0.96,6375,2.43571428571428
"dbhvjx",0.78,7165,2.44285714285714
"dbiaih",0.94,7005,3.01071428571429
"delfvk",0.96,7300,2.93571428571428
"dkxdtc",0.9,7330,2.82857142857143
"dmxpje",0.92,7740,2.88928571428571
"dnbhnn",0.68,7755,2.68928571428571
"dnclzl",0.92,8440,3.16071428571428
"dneyew",0.96,8035,3.18571428571428
"doqcwt",0.88,8295,3.35714285714286
"dplkwh",0.92,5500,3.08214285714286
"dpvifv",0.92,8560,3.11785714285714
"dqbybx",0.96,7015,2.525
"dqyugk",0.98,9025,3.28571428571429
"drimwq",0.92,8365,2.97142857142857
"dsawqr",0.92,6400,3.30357142857143
"dzwutt",0.78,6090,2.5
"ecwama",0.96,8150,2.91428571428571
"efzxwg",0.92,7200,3.17142857142857
"eifhma",0.94,8790,3.11785714285714
"eiswyd",0.98,8960,2.74642857142857
"eitrhl",0.755102040816326,7600,2.93928571428571
"eiwwxk",0.84,7160,2.13928571428571
"eoxjqn",0.88,8360,2.79642857142857
"eswilo",0.68,6395,2.75357142857143
"euqrbq",0.84,7155,2.52142857142857
"evepkm",0.94,8830,3.5
"ezjeew",0.82,6970,2.99285714285714
